instant	weathersit	casual	registered
148	1	2001	2757
149	1	2355	2433
150	1	1549	2549
151	1	673	3309
152	2	513	3461
153	1	736	4232
154	1	898	4414
155	1	1869	3473
156	2	1685	3221
157	1	673	3875
158	1	763	4070
159	1	676	3725
160	2	563	3352
161	1	815	3771
162	1	1729	3237
163	1	1467	2993
164	1	863	4157
165	1	727	4164
166	1	769	4411
167	2	545	3222
168	1	863	3981
169	1	1807	3312
170	2	1639	3105
171	2	699	3311
172	2	774	4061
173	1	661	3846
174	2	746	4044
175	1	969	4022
176	1	1782	3420
177	1	1920	3385
178	2	854	3854
179	1	732	3916
180	1	848	4377
181	1	1027	4488
182	1	1246	4116
183	1	2204	2915
184	2	2282	2367
185	2	3065	2978
186	1	1031	3634
187	1	784	3845
188	1	754	3838
189	2	692	3348
190	1	1988	3348
191	1	1743	3138
192	1	723	3363
193	1	662	3596
194	1	748	3594
195	1	888	4196
196	1	1318	4220
197	1	2418	3505
198	1	2006	3296
199	1	841	3617
200	1	752	3789
201	1	644	3688
202	2	632	3152
203	1	562	2825
204	1	987	2298
205	1	1050	2556
206	1	568	3272
207	1	750	3840
208	1	755	3901
209	1	606	3784
210	1	670	3176
211	1	1559	2916
212	1	1524	2778
213	1	729	3537
214	1	801	4044
215	2	467	3107
216	2	799	3777
217	1	1023	3843
218	2	1521	2773
219	1	1298	2487
220	1	846	3480
221	1	907	3695
222	1	884	3896
223	1	812	3980
224	1	1051	3854
225	2	1504	2646
226	2	1338	2482
227	1	775	3563
228	1	721	4004
229	1	668	4026
230	1	639	3166
231	2	797	3356
232	1	1914	3277
233	1	1249	2624
234	1	833	3925
235	1	1281	4614
236	1	949	4181
237	2	435	3107
238	1	768	3893
239	2	226	889
240	1	1415	2919
241	1	729	3905
242	1	775	4429
243	1	688	4370
244	1	783	4332
245	2	875	3852
246	1	1935	2549
247	1	2521	2419
248	2	1236	2115
249	3	204	2506
250	3	118	1878
251	3	153	1689
252	2	417	3127
253	1	1750	3595
254	1	1633	3413
255	1	690	4023
256	1	701	4062
257	1	647	4138
258	2	428	3231
259	2	742	4018
260	2	1434	3077
261	1	1353	2921
262	2	691	3848
263	2	438	3203
264	2	539	3813
265	2	555	4240
266	2	258	2137
267	2	1776	3647
268	2	1544	3466
269	2	684	3946
270	2	477	3643
271	2	480	3427
272	1	653	4186
273	1	830	4372
274	2	480	1949
275	2	616	2302
276	2	330	3240
277	1	486	3970
278	1	559	4267
279	1	639	4126
280	1	949	4036
281	1	2235	3174
282	1	2397	3114
283	1	1514	3603
284	2	667	3896
285	3	217	2199
286	2	290	2623
287	2	529	3115
288	1	1899	3318
289	1	1748	3293
290	1	713	3857
291	2	637	4111
292	3	254	2170
293	1	471	3724
294	1	676	3628
295	1	1499	2809
296	1	1619	2762
297	1	699	3488
298	1	695	3992
299	2	404	3490
300	2	240	2419
301	2	456	3291
302	3	57	570
303	1	885	2446
304	1	362	3307
305	1	410	3658
306	1	370	3816
307	1	318	3656
308	2	470	3576
309	1	1156	2770
310	1	952	2697
311	1	373	3662
312	1	376	3829
313	1	305	3804
314	2	190	2743
315	1	440	2928
316	1	1275	2792
317	1	1004	2713
318	1	595	3891
319	2	449	3746
320	3	145	1672
321	2	139	2914
322	1	245	3147
323	1	943	2720
324	2	787	2733
325	3	220	2545
326	3	69	1538
327	2	112	2454
328	1	560	935
329	1	1095	1697
330	1	1249	1819
331	1	810	2261
332	1	253	3614
333	2	96	2818
334	1	188	3425
335	1	182	3545
336	1	268	3672
337	1	706	2908
338	1	634	2851
339	2	233	3578
340	3	126	2468
341	3	50	655
342	1	150	3172
343	1	261	3359
344	1	502	2688
345	1	377	2366
346	1	143	3167
347	1	155	3368
348	2	178	3562
349	2	181	3528
350	2	178	3399
351	2	275	2464
352	1	220	2211
353	1	260	3143
354	2	216	3534
355	2	107	2553
356	2	227	2841
357	1	163	2046
358	1	155	856
359	1	303	451
360	1	430	887
361	2	103	1059
362	1	255	2047
363	1	254	2169
364	1	491	2508
365	1	665	1820
366	1	686	1608
367	1	244	1707
368	1	89	2147
369	2	95	2273
370	1	140	3132
371	1	307	3791
372	1	1070	3451
373	1	599	2826
374	2	106	2270
375	1	173	3425
376	2	92	2085
377	2	269	3828
378	1	174	3040
379	1	333	2160
380	1	284	2027
381	1	217	2081
382	2	127	2808
383	1	109	3267
384	1	130	3162
385	2	115	3048
386	2	67	1234
387	2	196	1781
388	2	145	2287
389	1	439	3900
390	1	467	3803
391	2	244	3831
392	2	269	3187
393	1	775	3248
394	1	558	2685
395	1	126	3498
396	1	324	4185
397	1	304	4275
398	2	190	3571
399	1	310	3841
400	2	384	2448
401	2	318	2629
402	1	206	3578
403	1	199	4176
404	2	109	2693
405	1	163	3667
406	2	227	3604
407	3	192	1977
408	1	73	1456
409	1	94	3328
410	2	135	3787
411	1	141	4028
412	2	74	2931
413	1	349	3805
414	1	1435	2883
415	2	618	2071
416	1	502	2627
417	1	163	3614
418	1	394	4379
419	1	516	4546
420	2	246	3241
421	1	317	2415
422	1	515	2874
423	1	253	4069
424	1	229	4134
425	2	65	1769
426	1	325	4665
427	2	246	2948
428	2	956	3110
429	1	710	2713
430	1	203	3130
431	1	221	3735
432	1	432	4484
433	1	486	4896
434	2	447	4122
435	1	968	3150
436	1	1658	3253
437	1	838	4460
438	1	762	5085
439	1	997	5315
440	1	1005	5187
441	2	548	3830
442	2	3155	4681
443	2	2207	3685
444	1	982	5171
445	1	1051	5042
446	2	1122	5108
447	1	1334	5537
448	2	2469	5893
449	2	1033	2339
450	2	1532	3464
451	1	795	4763
452	1	531	4571
453	1	674	5024
454	1	834	5299
455	2	796	4663
456	2	2301	3934
457	2	2347	3694
458	1	1208	4728
459	1	1348	5424
460	1	1058	5378
461	1	1192	5265
462	1	1807	4653
463	1	3252	3605
464	1	2230	2939
465	1	905	4680
466	1	819	5099
467	1	482	4380
468	1	663	4746
469	1	1252	5146
470	1	2795	4665
471	1	2846	4286
472	1	1198	5172
473	1	989	5702
474	2	347	4020
475	1	846	5719
476	1	1340	5950
477	1	2541	4083
478	3	120	907
479	2	195	3019
480	1	518	5115
481	1	655	5541
482	2	475	4551
483	1	1014	5219
484	2	1120	3100
485	1	2229	4075
486	2	665	4907
487	2	653	5087
488	1	667	5502
489	2	764	5657
490	1	1069	5227
491	2	2496	4387
492	2	2135	4224
493	2	1008	5265
494	2	738	4990
495	2	620	4097
496	1	1026	5546
497	1	1319	5711
498	1	2622	4807
499	1	2172	3946
500	2	342	2501
501	2	625	4490
502	1	991	6433
503	1	1242	6142
504	1	1521	6118
505	1	3410	4884
506	1	2704	4425
507	2	630	3729
508	2	819	5254
509	2	766	4494
510	1	1059	5711
511	1	1417	5317
512	1	2855	3681
513	1	3283	3308
514	1	2557	3486
515	1	880	4863
516	2	745	6110
517	1	1100	6238
518	2	533	3594
519	1	2795	5325
520	1	2494	5147
521	1	1071	5927
522	2	968	6033
523	1	1027	6028
524	1	1038	6456
525	1	1488	6248
526	1	2708	4790
527	1	2224	4374
528	2	1017	5647
529	2	477	4495
530	1	1173	6248
531	1	1180	6183
532	1	1563	6102
533	1	2963	4739
534	1	2634	4344
535	2	653	4446
536	1	968	5857
537	1	872	5339
538	1	778	5127
539	1	964	4859
540	1	2657	4801
541	1	2551	4340
542	1	1139	5640
543	1	1077	6365
544	1	1077	6258
545	1	921	5958
546	1	829	4634
547	1	1455	4232
548	1	1421	4110
549	1	904	5323
550	1	1052	5608
551	1	2562	4841
552	1	1405	4836
553	1	1366	4841
554	1	1448	3392
555	1	1203	3469
556	2	998	5571
557	2	954	5336
558	1	975	6289
559	1	1032	6414
560	2	1511	5988
561	2	2355	4614
562	1	1920	4111
563	1	1088	5742
564	1	921	5865
565	1	799	4914
566	1	888	5703
567	2	747	5123
568	3	1264	3195
569	2	2544	4866
570	1	1135	5831
571	1	1140	6452
572	1	1383	6790
573	1	1036	5825
574	1	1259	5645
575	1	2234	4451
576	1	2153	4444
577	1	1040	6065
578	1	968	6248
579	1	1074	6506
580	1	983	6278
581	2	1328	5847
582	1	2345	4479
583	1	1707	3757
584	2	1233	5780
585	2	1278	5995
586	2	1263	6271
587	1	1196	6090
588	2	1065	4721
589	2	2247	4052
590	1	2182	4362
591	1	1207	5676
592	1	1128	5656
593	1	1198	6149
594	1	1338	6267
595	1	1483	5665
596	1	2827	5038
597	2	1208	3341
598	2	1026	5504
599	1	1081	5925
600	1	1094	6281
601	1	1363	6402
602	2	1325	6257
603	2	1829	4224
604	2	1483	3772
605	1	989	5928
606	1	935	6105
607	1	1177	6520
608	1	1172	6541
609	1	1433	5917
610	2	2352	3788
611	2	2613	3197
612	1	1965	4069
613	1	867	5997
614	1	832	6280
615	2	611	5592
616	1	1045	6459
617	2	1557	4419
618	1	2570	5657
619	1	1118	6407
620	1	1070	6697
621	1	1050	6820
622	1	1054	6750
623	1	1379	6630
624	1	3160	5554
625	1	2166	5167
626	2	1022	5847
627	2	371	3702
628	1	788	6803
629	1	939	6781
630	1	1250	6917
631	1	2512	5883
632	1	2454	5453
633	1	1001	6435
634	1	845	6693
635	1	787	6946
636	2	751	6642
637	2	1045	6370
638	1	2589	5966
639	1	2015	4874
640	2	763	6015
641	3	315	4324
642	2	728	6844
643	2	891	6437
644	1	1516	6640
645	1	3031	4934
646	2	781	2729
647	2	874	4604
648	2	601	5791
649	1	780	6911
650	1	834	6736
651	1	1060	6222
652	1	2252	4857
653	1	2080	4559
654	2	760	5115
655	1	922	6612
656	1	979	6482
657	2	1008	6501
658	2	753	4671
659	1	2806	5284
660	1	2132	4692
661	1	830	6228
662	1	841	6625
663	1	795	6898
664	2	875	6484
665	2	1182	6262
666	2	2643	5209
667	2	998	3461
668	3	2	20
669	2	87	1009
670	2	419	5147
671	2	466	5520
672	1	618	5229
673	2	1029	4109
674	1	1201	3906
675	1	378	4881
676	1	466	5220
677	2	326	4709
678	1	340	4975
679	1	709	5283
680	1	2090	4446
681	1	2290	4562
682	1	1097	5172
683	2	327	3767
684	1	373	5122
685	2	320	5125
686	1	484	5214
687	1	1313	4316
688	1	922	3747
689	2	449	5050
690	2	534	5100
691	1	615	4531
692	1	955	1470
693	1	1603	2307
694	1	532	1745
695	1	309	2115
696	1	337	4750
697	2	123	3836
698	1	198	5062
699	1	243	5080
700	1	362	5306
701	2	951	4240
702	2	892	3757
703	1	555	5679
704	1	551	6055
705	1	331	5398
706	1	340	5035
707	2	349	4659
708	2	1153	4429
709	2	441	2787
710	2	329	4841
711	2	282	5219
712	2	310	5009
713	1	425	5107
714	1	429	5182
715	1	767	4280
716	2	538	3248
717	2	212	4373
718	1	433	5124
719	1	333	4934
720	2	314	3814
721	2	221	3402
722	1	205	1544
723	1	408	1379
724	2	174	746
725	2	440	573
726	3	9	432
727	2	247	1867
728	2	644	2451
729	2	159	1182
730	1	364	1432
731	2	439	2290
