Date,NAO
1840-11-01,0.46
1840-12-01,-2.43
1841-01-01,-0.71
1841-02-01,-1.37
1841-03-01,2.41
1841-04-01,1.97
1841-05-01,1.65
1841-06-01,-0.61
1841-07-01,-0.62
1841-08-01,2.39
1841-09-01,-2.76
1841-10-01,-2.13
1841-11-01,1.76
1841-12-01,0.21
1842-01-01,2.45
1842-02-01,4.26
1842-03-01,3.43
1842-04-01,-0.44
1842-05-01,-0.85
1842-06-01,-4.3
1842-07-01,-4.05
1842-08-01,1.03
1842-09-01,-3.8
1842-10-01,-3.73
1842-11-01,-2.66
1842-12-01,0.51
1843-01-01,2.99
1843-02-01,-3.51
1843-03-01,-1.28
1843-04-01,2.03
1843-05-01,-0.49
1843-06-01,-1.92
1843-07-01,3.26
1843-08-01,3.99
1843-09-01,-0.58
1843-10-01,-1.9
1843-11-01,0.87
1843-12-01,3.13
1844-01-01,0.2
1844-02-01,0.11
1844-03-01,1.09
1844-04-01,3.91
1844-05-01,-2.77
1844-06-01,-0.12
1844-07-01,0.37
1844-08-01,-1.0
1844-09-01,-1.53
1844-10-01,-0.99
1844-11-01,-0.02
1844-12-01,-1.9
1845-01-01,1.17
1845-02-01,0.06
1845-03-01,-0.54
1845-04-01,0.56
1845-05-01,-0.97
1845-06-01,2.07
1845-07-01,-0.16
1845-08-01,-0.29
1845-09-01,-0.23
1845-10-01,1.14
1845-11-01,0.49
1845-12-01,0.83
1846-01-01,2.26
1846-02-01,0.63
1846-03-01,1.75
1846-04-01,-1.42
1846-05-01,0.19
1846-06-01,1.45
1846-07-01,2.84
1846-08-01,-0.3
1846-09-01,-1.18
1846-10-01,0.01
1846-11-01,-0.59
1846-12-01,-2.55
1847-01-01,0.03
1847-02-01,0.1
1847-03-01,-1.59
1847-04-01,1.17
1847-05-01,1.76
1847-06-01,-0.26
1847-07-01,0.75
1847-08-01,1.13
1847-09-01,-0.32
1847-10-01,0.44
1847-11-01,2.46
1847-12-01,1.76
1848-01-01,-0.79
1848-02-01,1.77
1848-03-01,0.76
1848-04-01,-1.02
1848-05-01,0.69
1848-06-01,-1.78
1848-07-01,1.87
1848-08-01,2.64
1848-09-01,-2.55
1848-10-01,-2.44
1848-11-01,-0.84
1848-12-01,2.55
1849-01-01,2.42
1849-02-01,2.77
1849-03-01,-0.56
1849-04-01,-0.99
1849-05-01,-0.52
1849-06-01,-3.21
1849-07-01,1.2
1849-08-01,0.7
1849-09-01,-2.23
1849-10-01,-0.08
1849-11-01,0.8
1849-12-01,-1.24
1850-01-01,-0.16
1850-02-01,4.13
1850-03-01,-2.22
1850-04-01,0.97
1850-05-01,-1.16
1850-06-01,0.4
1850-07-01,0.31
1850-08-01,0.15
1850-09-01,-2.08
1850-10-01,-2.7
1850-11-01,2.39
1850-12-01,2.36
1851-01-01,3.29
1851-02-01,1.03
1851-03-01,1.5
1851-04-01,-1.66
1851-05-01,-1.53
1851-06-01,-1.62
1851-07-01,-5.39
1851-08-01,4.68
1851-09-01,1.85
1851-10-01,0.78
1851-11-01,-1.77
1851-12-01,1.74
1852-01-01,1.46
1852-02-01,0.41
1852-03-01,-2.5
1852-04-01,-1.6
1852-05-01,0.25
1852-06-01,0.09
1852-07-01,-1.13
1852-08-01,2.94
1852-09-01,-2.02
1852-10-01,-1.65
1852-11-01,-0.93
1852-12-01,1.03
1853-01-01,1.31
1853-02-01,-4.04
1853-03-01,-0.32
1853-04-01,0.76
1853-05-01,-3.17
1853-06-01,1.09
1853-07-01,1.76
1853-08-01,-2.36
1853-09-01,-0.22
1853-10-01,-0.47
1853-11-01,0.51
1853-12-01,-4.28
1854-01-01,1.28
1854-02-01,1.72
1854-03-01,2.67
1854-04-01,0.88
1854-05-01,0.04
1854-06-01,-0.06
1854-07-01,-1.92
1854-08-01,-0.03
1854-09-01,2.62
1854-10-01,1.11
1854-11-01,-1.56
1854-12-01,2.42
1855-01-01,-1.84
1855-02-01,-3.8
1855-03-01,-0.05
1855-04-01,0.99
1855-05-01,-2.28
1855-06-01,0.78
1855-07-01,-2.61
1855-08-01,3.81
1855-09-01,0.79
1855-10-01,-1.09
1855-11-01,-2.42
1855-12-01,-1.66
1856-01-01,-1.25
1856-02-01,-0.1
1856-03-01,-2.27
1856-04-01,2.0
1856-05-01,-0.7
1856-06-01,2.03
1856-07-01,-0.16
1856-08-01,-0.44
1856-09-01,-0.5
1856-10-01,1.12
1856-11-01,-1.69
1856-12-01,-0.23
1857-01-01,-0.69
1857-02-01,2.02
1857-03-01,1.09
1857-04-01,0.55
1857-05-01,-0.17
1857-06-01,-0.33
1857-07-01,5.36
1857-08-01,1.02
1857-09-01,1.21
1857-10-01,-0.2
1857-11-01,-1.68
1857-12-01,3.51
1858-01-01,2.26
1858-02-01,-0.54
1858-03-01,-1.24
1858-04-01,1.24
1858-05-01,0.53
1858-06-01,-0.24
1858-07-01,-1.58
1858-08-01,0.06
1858-09-01,2.33
1858-10-01,-1.86
1858-11-01,-4.41
1858-12-01,3.01
1859-01-01,2.74
1859-02-01,2.37
1859-03-01,1.5
1859-04-01,-1.12
1859-05-01,-0.63
1859-06-01,-0.06
1859-07-01,2.24
1859-08-01,1.82
1859-09-01,0.11
1859-10-01,-2.61
1859-11-01,0.29
1859-12-01,-1.31
1860-01-01,1.54
1860-02-01,0.32
1860-03-01,1.08
1860-04-01,-0.37
1860-05-01,-1.51
1860-06-01,-2.32
1860-07-01,-2.27
1860-08-01,-0.16
1860-09-01,-0.92
1860-10-01,2.28
1860-11-01,-3.44
1860-12-01,-2.14
1861-01-01,-0.56
1861-02-01,0.8
1861-03-01,2.06
1861-04-01,-1.86
1861-05-01,-1.99
1861-06-01,-1.04
1861-07-01,0.73
1861-08-01,2.91
1861-09-01,-0.85
1861-10-01,-0.8
1861-11-01,-1.35
1861-12-01,-1.5
1862-01-01,1.15
1862-02-01,-1.26
1862-03-01,-2.25
1862-04-01,0.64
1862-05-01,0.65
1862-06-01,-0.22
1862-07-01,-2.08
1862-08-01,-1.43
1862-09-01,-1.5
1862-10-01,1.75
1862-11-01,-0.49
1862-12-01,2.92
1863-01-01,1.12
1863-02-01,3.1
1863-03-01,1.88
1863-04-01,2.35
1863-05-01,-1.49
1863-06-01,-0.59
1863-07-01,-0.43
1863-08-01,0.1
1863-09-01,2.46
1863-10-01,-0.59
1863-11-01,1.62
1863-12-01,2.17
1864-01-01,2.03
1864-02-01,-0.27
1864-03-01,-1.78
1864-04-01,0.23
1864-05-01,-1.83
1864-06-01,1.76
1864-07-01,0.5
1864-08-01,-0.21
1864-09-01,1.12
1864-10-01,-6.05
1864-11-01,0.01
1864-12-01,-0.77
1865-01-01,0.15
1865-02-01,-0.42
1865-03-01,-1.03
1865-04-01,0.92
1865-05-01,0.87
1865-06-01,0.74
1865-07-01,-0.07
1865-08-01,-0.22
1865-09-01,3.24
1865-10-01,-2.66
1865-11-01,-0.14
1865-12-01,2.57
1866-01-01,2.06
1866-02-01,0.7
1866-03-01,-2.1
1866-04-01,-0.88
1866-05-01,-1.54
1866-06-01,-0.18
1866-07-01,0.29
1866-08-01,0.77
1866-09-01,1.52
1866-10-01,-0.03
1866-11-01,1.01
1866-12-01,2.14
1867-01-01,-2.17
1867-02-01,3.63
1867-03-01,-3.03
1867-04-01,3.08
1867-05-01,-2.35
1867-06-01,-1.2
1867-07-01,-1.77
1867-08-01,3.1
1867-09-01,1.13
1867-10-01,0.73
1867-11-01,-1.51
1867-12-01,-0.55
1868-01-01,1.46
1868-02-01,3.95
1868-03-01,2.94
1868-04-01,2.52
1868-05-01,1.35
1868-06-01,2.1
1868-07-01,1.21
1868-08-01,3.02
1868-09-01,-2.65
1868-10-01,1.87
1868-11-01,-0.83
1868-12-01,2.01
1869-01-01,3.25
1869-02-01,3.9
1869-03-01,-1.91
1869-04-01,2.62
1869-05-01,-1.98
1869-06-01,-0.71
1869-07-01,0.29
1869-08-01,1.15
1869-09-01,0.62
1869-10-01,-0.79
1869-11-01,0.79
1869-12-01,-0.69
1870-01-01,0.32
1870-02-01,-1.98
1870-03-01,-2.07
1870-04-01,2.92
1870-05-01,1.55
1870-06-01,0.56
1870-07-01,-0.36
1870-08-01,-3.41
1870-09-01,1.71
1870-10-01,1.3
1870-11-01,-2.04
1870-12-01,-3.52
1871-01-01,0.67
1871-02-01,1.71
1871-03-01,1.15
1871-04-01,-0.32
1871-05-01,-2.5
1871-06-01,-1.37
1871-07-01,1.75
1871-08-01,4.19
1871-09-01,-1.93
1871-10-01,-0.89
1871-11-01,-3.72
1871-12-01,-0.18
1872-01-01,1.15
1872-02-01,0.45
1872-03-01,-1.2
1872-04-01,-0.73
1872-05-01,0.02
1872-06-01,-0.34
1872-07-01,-3.61
1872-08-01,-1.43
1872-09-01,-2.53
1872-10-01,-0.91
1872-11-01,0.67
1872-12-01,-1.09
1873-01-01,2.3
1873-02-01,0.18
1873-03-01,-0.39
1873-04-01,-2.17
1873-05-01,-0.93
1873-06-01,0.78
1873-07-01,-0.12
1873-08-01,3.44
1873-09-01,-0.57
1873-10-01,-0.81
1873-11-01,-2.23
1873-12-01,2.01
1874-01-01,1.56
1874-02-01,2.07
1874-03-01,1.47
1874-04-01,2.99
1874-05-01,-1.85
1874-06-01,-0.76
1874-07-01,0.18
1874-08-01,0.82
1874-09-01,0.74
1874-10-01,0.86
1874-11-01,-0.34
1874-12-01,-2.12
1875-01-01,2.06
1875-02-01,-1.47
1875-03-01,-0.61
1875-04-01,-0.41
1875-05-01,0.89
1875-06-01,1.46
1875-07-01,-1.44
1875-08-01,1.71
1875-09-01,-0.01
1875-10-01,-0.75
1875-11-01,-2.8
1875-12-01,0.08
1876-01-01,1.1
1876-02-01,0.75
1876-03-01,-0.29
1876-04-01,-0.67
1876-05-01,-1.45
1876-06-01,1.71
1876-07-01,3.48
1876-08-01,1.02
1876-09-01,-2.62
1876-10-01,-2.19
1876-11-01,-2.35
1876-12-01,-1.13
1877-01-01,2.39
1877-02-01,1.96
1877-03-01,-0.45
1877-04-01,-2.3
1877-05-01,-1.73
1877-06-01,-0.32
1877-07-01,1.18
1877-08-01,-1.83
1877-09-01,-3.74
1877-10-01,1.25
1877-11-01,2.06
1877-12-01,2.16
1878-01-01,1.18
1878-02-01,2.2
1878-03-01,-0.01
1878-04-01,0.45
1878-05-01,0.28
1878-06-01,-1.54
1878-07-01,-1.93
1878-08-01,-2.46
1878-09-01,-0.95
1878-10-01,-1.44
1878-11-01,-3.47
1878-12-01,-3.31
1879-01-01,-0.71
1879-02-01,0.85
1879-03-01,-0.08
1879-04-01,0.1
1879-05-01,0.63
1879-06-01,-0.5
1879-07-01,-1.57
1879-08-01,-0.29
1879-09-01,1.9
1879-10-01,-1.88
1879-11-01,-3.38
1879-12-01,0.58
1880-01-01,0.42
1880-02-01,1.92
1880-03-01,0.06
1880-04-01,1.66
1880-05-01,-1.78
1880-06-01,0.45
1880-07-01,-1.9
1880-08-01,-0.43
1880-09-01,0.92
1880-10-01,-3.2
1880-11-01,1.19
1880-12-01,0.52
1881-01-01,-3.6
1881-02-01,-1.62
1881-03-01,-0.51
1881-04-01,-1.42
1881-05-01,0.82
1881-06-01,0.01
1881-07-01,2.1
1881-08-01,0.42
1881-09-01,-0.25
1881-10-01,-2.04
1881-11-01,4.34
1881-12-01,2.77
1882-01-01,3.07
1882-02-01,3.2
1882-03-01,3.61
1882-04-01,-0.42
1882-05-01,-0.68
1882-06-01,-0.64
1882-07-01,1.6
1882-08-01,2.05
1882-09-01,0.4
1882-10-01,0.65
1882-11-01,2.01
1882-12-01,-1.69
1883-01-01,1.67
1883-02-01,4.25
1883-03-01,-3.04
1883-04-01,0.88
1883-05-01,-0.54
1883-06-01,-1.75
1883-07-01,-2.25
1883-08-01,3.0
1883-09-01,0.47
1883-10-01,1.68
1883-11-01,2.36
1883-12-01,0.91
1884-01-01,3.32
1884-02-01,1.48
1884-03-01,0.19
1884-04-01,-2.36
1884-05-01,-0.17
1884-06-01,0.5
1884-07-01,-0.8
1884-08-01,2.16
1884-09-01,1.6
1884-10-01,0.27
1884-11-01,-1.16
1884-12-01,1.94
1885-01-01,-0.8
1885-02-01,0.09
1885-03-01,-1.06
1885-04-01,0.36
1885-05-01,0.32
1885-06-01,1.59
1885-07-01,3.07
1885-08-01,-1.03
1885-09-01,1.4
1885-10-01,-0.84
1885-11-01,-0.76
1885-12-01,-0.03
1886-01-01,-1.41
1886-02-01,-0.39
1886-03-01,0.56
1886-04-01,-1.37
1886-05-01,-0.67
1886-06-01,-1.17
1886-07-01,-1.59
1886-08-01,2.43
1886-09-01,-0.34
1886-10-01,-0.55
1886-11-01,0.55
1886-12-01,0.12
1887-01-01,1.9
1887-02-01,2.03
1887-03-01,-0.85
1887-04-01,-2.11
1887-05-01,0.44
1887-06-01,0.06
1887-07-01,0.58
1887-08-01,-1.19
1887-09-01,-2.56
1887-10-01,-1.14
1887-11-01,-3.25
1887-12-01,-1.62
1888-01-01,0.21
1888-02-01,-2.25
1888-03-01,-1.5
1888-04-01,-2.25
1888-05-01,0.97
1888-06-01,-1.7
1888-07-01,0.0
1888-08-01,4.0
1888-09-01,-0.42
1888-10-01,-0.89
1888-11-01,2.7
1888-12-01,1.25
1889-01-01,0.65
1889-02-01,-0.2
1889-03-01,0.11
1889-04-01,1.05
1889-05-01,-0.39
1889-06-01,1.89
1889-07-01,-1.03
1889-08-01,3.78
1889-09-01,-1.98
1889-10-01,-1.23
1889-11-01,2.7
1889-12-01,2.3
1890-01-01,4.32
1890-02-01,-1.37
1890-03-01,0.5
1890-04-01,-0.08
1890-05-01,-1.14
1890-06-01,1.23
1890-07-01,0.3
1890-08-01,0.99
1890-09-01,2.5
1890-10-01,0.85
1890-11-01,1.9
1890-12-01,-2.75
1891-01-01,0.27
1891-02-01,2.81
1891-03-01,-1.17
1891-04-01,-0.92
1891-05-01,-1.78
1891-06-01,-3.74
1891-07-01,-0.54
1891-08-01,2.22
1891-09-01,2.29
1891-10-01,-0.46
1891-11-01,-1.53
1891-12-01,2.86
1892-01-01,-0.77
1892-02-01,-2.21
1892-03-01,-1.53
1892-04-01,-1.14
1892-05-01,-0.57
1892-06-01,-0.47
1892-07-01,0.18
1892-08-01,1.16
1892-09-01,1.61
1892-10-01,-3.68
1892-11-01,0.81
1892-12-01,-1.05
1893-01-01,-1.61
1893-02-01,2.54
1893-03-01,-0.04
1893-04-01,0.04
1893-05-01,0.37
1893-06-01,-0.56
1893-07-01,-1.5
1893-08-01,0.48
1893-09-01,-0.97
1893-10-01,0.32
1893-11-01,-2.16
1893-12-01,1.86
1894-01-01,1.4
1894-02-01,3.95
1894-03-01,1.12
1894-04-01,1.98
1894-05-01,-1.38
1894-06-01,2.78
1894-07-01,1.18
1894-08-01,0.91
1894-09-01,-2.19
1894-10-01,-2.24
1894-11-01,1.96
1894-12-01,0.94
1895-01-01,-2.61
1895-02-01,-4.14
1895-03-01,-0.27
1895-04-01,0.37
1895-05-01,0.51
1895-06-01,-0.2
1895-07-01,1.21
1895-08-01,1.72
1895-09-01,1.15
1895-10-01,-2.53
1895-11-01,1.92
1895-12-01,0.02
1896-01-01,-0.23
1896-02-01,2.33
1896-03-01,1.39
1896-04-01,2.54
1896-05-01,-0.89
1896-06-01,-0.27
1896-07-01,1.23
1896-08-01,-1.02
1896-09-01,0.6
1896-10-01,-2.77
1896-11-01,-0.55
1896-12-01,1.86
1897-01-01,-2.36
1897-02-01,3.32
1897-03-01,2.31
1897-04-01,4.28
1897-05-01,-0.52
1897-06-01,-1.42
1897-07-01,-0.05
1897-08-01,2.49
1897-09-01,1.4
1897-10-01,-0.6
1897-11-01,0.02
1897-12-01,1.35
1898-01-01,1.97
1898-02-01,1.9
1898-03-01,-2.33
1898-04-01,3.46
1898-05-01,-0.53
1898-06-01,-0.84
1898-07-01,-1.53
1898-08-01,3.56
1898-09-01,-0.17
1898-10-01,-1.15
1898-11-01,-1.14
1898-12-01,3.14
1899-01-01,0.68
1899-02-01,-0.17
1899-03-01,-1.5
1899-04-01,0.58
1899-05-01,-1.03
1899-06-01,-0.25
1899-07-01,2.46
1899-08-01,-1.13
1899-09-01,-0.08
1899-10-01,-0.12
1899-11-01,1.94
1899-12-01,-0.87
1900-01-01,1.38
1900-02-01,-2.36
1900-03-01,-3.12
1900-04-01,2.61
1900-05-01,-0.57
1900-06-01,-1.23
1900-07-01,-0.21
1900-08-01,-0.06
1900-09-01,0.98
1900-10-01,-0.57
1900-11-01,0.65
1900-12-01,3.5
1901-01-01,0.98
1901-02-01,-2.58
1901-03-01,-0.91
1901-04-01,2.53
1901-05-01,-0.71
1901-06-01,0.21
1901-07-01,-1.83
1901-08-01,1.14
1901-09-01,-0.09
1901-10-01,-0.47
1901-11-01,-1.73
1901-12-01,-1.38
1902-01-01,1.41
1902-02-01,-1.4
1902-03-01,0.5
1902-04-01,-1.14
1902-05-01,0.54
1902-06-01,-3.25
1902-07-01,-1.24
1902-08-01,-0.18
1902-09-01,-1.51
1902-10-01,-0.12
1902-11-01,-0.09
1902-12-01,1.27
1903-01-01,1.28
1903-02-01,4.86
1903-03-01,4.05
1903-04-01,-0.79
1903-05-01,0.14
1903-06-01,-2.8
1903-07-01,0.43
1903-08-01,3.67
1903-09-01,0.22
1903-10-01,-0.55
1903-11-01,1.04
1903-12-01,-1.09
1904-01-01,2.24
1904-02-01,1.21
1904-03-01,-0.7
1904-04-01,2.64
1904-05-01,1.75
1904-06-01,-0.87
1904-07-01,-0.04
1904-08-01,0.61
1904-09-01,-0.43
1904-10-01,0.04
1904-11-01,0.07
1904-12-01,0.88
1905-01-01,1.81
1905-02-01,2.09
1905-03-01,2.23
1905-04-01,-1.17
1905-05-01,-0.72
1905-06-01,-2.29
1905-07-01,-0.05
1905-08-01,0.97
1905-09-01,-0.19
1905-10-01,-3.1
1905-11-01,-0.25
1905-12-01,1.85
1906-01-01,2.64
1906-02-01,1.26
1906-03-01,-0.25
1906-04-01,1.67
1906-05-01,-1.75
1906-06-01,-1.68
1906-07-01,1.29
1906-08-01,0.38
1906-09-01,-1.33
1906-10-01,0.4
1906-11-01,0.7
1906-12-01,0.03
1907-01-01,1.58
1907-02-01,1.22
1907-03-01,2.41
1907-04-01,1.08
1907-05-01,-1.42
1907-06-01,0.76
1907-07-01,-0.55
1907-08-01,2.22
1907-09-01,0.24
1907-10-01,-1.59
1907-11-01,-0.41
1907-12-01,1.18
1908-01-01,0.64
1908-02-01,1.98
1908-03-01,0.74
1908-04-01,-1.75
1908-05-01,1.92
1908-06-01,0.83
1908-07-01,0.09
1908-08-01,0.6
1908-09-01,0.98
1908-10-01,0.24
1908-11-01,-0.21
1908-12-01,1.47
1909-01-01,1.82
1909-02-01,-0.54
1909-03-01,-2.09
1909-04-01,0.06
1909-05-01,-0.92
1909-06-01,-1.35
1909-07-01,2.59
1909-08-01,2.35
1909-09-01,-1.29
1909-10-01,0.59
1909-11-01,-1.97
1909-12-01,-0.48
1910-01-01,2.57
1910-02-01,3.85
1910-03-01,0.55
1910-04-01,0.08
1910-05-01,-1.5
1910-06-01,-1.07
1910-07-01,-1.64
1910-08-01,0.31
1910-09-01,-1.15
1910-10-01,-1.56
1910-11-01,-0.87
1910-12-01,-0.1
1911-01-01,0.82
1911-02-01,2.05
1911-03-01,-1.4
1911-04-01,-0.24
1911-05-01,0.79
1911-06-01,0.42
1911-07-01,0.54
1911-08-01,0.13
1911-09-01,1.53
1911-10-01,-1.88
1911-11-01,-0.05
1911-12-01,3.02
1912-01-01,-0.91
1912-02-01,-0.17
1912-03-01,2.22
1912-04-01,-0.1
1912-05-01,1.7
1912-06-01,-0.98
1912-07-01,-1.42
1912-08-01,0.07
1912-09-01,-2.51
1912-10-01,0.42
1912-11-01,1.21
1912-12-01,3.0
1913-01-01,1.83
1913-02-01,1.19
1913-03-01,2.73
1913-04-01,1.99
1913-05-01,0.38
1913-06-01,1.03
1913-07-01,-0.99
1913-08-01,0.65
1913-09-01,-2.7
1913-10-01,-1.48
1913-11-01,4.62
1913-12-01,1.23
1914-01-01,0.58
1914-02-01,2.45
1914-03-01,1.72
1914-04-01,2.08
1914-05-01,2.19
1914-06-01,0.57
1914-07-01,-1.11
1914-08-01,0.97
1914-09-01,0.43
1914-10-01,-1.1
1914-11-01,-1.41
1914-12-01,2.23
1915-01-01,0.08
1915-02-01,1.82
1915-03-01,-1.91
1915-04-01,2.91
1915-05-01,-2.47
1915-06-01,-2.3
1915-07-01,-1.19
1915-08-01,-1.29
1915-09-01,-1.94
1915-10-01,-0.99
1915-11-01,-2.51
1915-12-01,-0.65
1916-01-01,3.82
1916-02-01,2.03
1916-03-01,-3.84
1916-04-01,0.77
1916-05-01,-0.72
1916-06-01,-3.03
1916-07-01,-0.69
1916-08-01,-0.57
1916-09-01,-2.59
1916-10-01,2.2
1916-11-01,-0.58
1916-12-01,-1.8
1917-01-01,-3.08
1917-02-01,-1.59
1917-03-01,-0.21
1917-04-01,-0.92
1917-05-01,-1.59
1917-06-01,0.81
1917-07-01,-0.21
1917-08-01,-0.39
1917-09-01,2.47
1917-10-01,0.94
1917-11-01,1.98
1917-12-01,-2.8
1918-01-01,-0.48
1918-02-01,3.87
1918-03-01,0.37
1918-04-01,-1.91
1918-05-01,0.23
1918-06-01,1.31
1918-07-01,-1.97
1918-08-01,1.76
1918-09-01,-0.17
1918-10-01,0.56
1918-11-01,0.26
1918-12-01,2.32
1919-01-01,-0.01
1919-02-01,-0.49
1919-03-01,-0.25
1919-04-01,1.72
1919-05-01,1.35
1919-06-01,1.86
1919-07-01,-1.33
1919-08-01,4.03
1919-09-01,-1.27
1919-10-01,-2.24
1919-11-01,-2.07
1919-12-01,2.86
1920-01-01,2.84
1920-02-01,1.39
1920-03-01,3.08
1920-04-01,0.09
1920-05-01,0.76
1920-06-01,-1.62
1920-07-01,1.87
1920-08-01,-1.22
1920-09-01,0.41
1920-10-01,-1.15
1920-11-01,1.48
1920-12-01,-0.46
1921-01-01,3.2
1921-02-01,0.07
1921-03-01,2.68
1921-04-01,-0.09
1921-05-01,-0.64
1921-06-01,-1.6
1921-07-01,-0.41
1921-08-01,-0.65
1921-09-01,-1.43
1921-10-01,-0.22
1921-11-01,-1.22
1921-12-01,2.18
1922-01-01,0.64
1922-02-01,2.97
1922-03-01,-0.23
1922-04-01,0.8
1922-05-01,2.36
1922-06-01,0.79
1922-07-01,1.79
1922-08-01,0.09
1922-09-01,-0.43
1922-10-01,-3.95
1922-11-01,-0.05
1922-12-01,1.47
1923-01-01,1.84
1923-02-01,2.77
1923-03-01,-0.1
1923-04-01,-1.19
1923-05-01,0.35
1923-06-01,0.53
1923-07-01,1.59
1923-08-01,0.73
1923-09-01,2.64
1923-10-01,1.34
1923-11-01,-1.97
1923-12-01,1.25
1924-01-01,0.86
1924-02-01,-1.62
1924-03-01,-1.88
1924-04-01,-0.94
1924-05-01,-0.55
1924-06-01,-2.09
1924-07-01,0.65
1924-08-01,0.55
1924-09-01,0.71
1924-10-01,0.5
1924-11-01,-0.21
1924-12-01,3.86
1925-01-01,4.23
1925-02-01,1.95
1925-03-01,-2.0
1925-04-01,2.59
1925-05-01,1.12
1925-06-01,-2.2
